indice,number of tokens,number of words without punctuation,number of types,number of words in upper case,number of verbs,number of subjuntive and imperative verbs,number of nouns,number of adjectives,number of adverbs,number of modal verbs,number of singular first and second personal pronouns,number of plural first personal pronouns,number of pronouns,pausality,number of chracteres,average sentence length,average word length,percentage of news with speeling errors,document_score,document_magnitude,EVENT,LOCATION,ORGANIZATION,PERSON,classification
2,356,300,187,2,62,1,75,13,25,7,0,0,30,3.2941199999999995,1321,17.6471,4.40333,0.0133333,0.0,4.0,0.012463998864404855,0.011476256884634495,0.0161288745701313,0.011704466641984051,FAKE
3,274,224,150,8,39,3,64,9,18,5,1,0,14,3.5714300000000003,1075,16.0,4.79911,0.0,-0.10000000149011612,3.5999999046325684,0.012985861239333948,0.013728485753138862,0.021580125158652663,0.015080590376301726,FAKE
5,162,133,96,2,20,0,36,9,8,1,0,0,12,2.63636,654,12.0909,4.91729,0.0,0.10000000149011612,2.0999999046325684,0.021924681030213836,0.016169607639312744,0.0154972979798913,0.033051944958666965,FAKE
6,223,193,129,0,34,1,49,11,10,2,3,0,23,2.1428599999999998,892,13.7857,4.62176,0.0,0.20000000298023224,4.0,0.02356771903578192,,0.01823494979180396,0.03836856374982745,FAKE
7,224,202,134,6,35,3,58,9,3,7,0,0,14,1.6923099999999998,963,15.5385,4.76733,0.0,0.0,3.0999999046325684,0.02094007151511808,0.02678103558719158,0.029094333993270993,0.014785698289051652,FAKE
8,217,184,125,1,25,1,45,10,22,4,0,0,10,2.0625,797,11.5,4.331519999999999,0.0,0.0,3.5999999046325684,0.032118176420529686,0.017208957113325596,0.010628446936607359,0.02243434446042075,FAKE
9,110,101,68,0,18,1,30,3,4,6,0,0,2,1.8,460,20.2,4.55446,0.0,0.0,0.6000000238418579,0.02300427295267582,0.07006283104419707,0.021397661417722702,0.051336725475266576,FAKE
10,289,254,163,0,56,8,64,11,18,11,1,0,20,2.5,1205,18.1429,4.74409,0.00787402,-0.10000000149011612,3.0999999046325684,0.014875174396567875,0.011186034418642521,0.00984007865190506,0.017114073247648773,FAKE
11,209,185,102,0,31,2,55,7,6,4,0,0,9,2.0,892,15.4167,4.821619999999999,0.00540541,0.10000000149011612,2.900000095367432,0.0231226459145546,0.022454770799312327,0.010624950441221396,0.017602597278627483,FAKE
12,262,235,134,10,38,1,65,6,19,3,0,0,24,2.7,1071,23.5,4.55745,0.00425532,0.0,3.0999999046325684,0.009355430180827776,0.01333608478307724,0.018499119931624997,0.01631655075930451,FAKE
13,284,257,152,12,48,5,76,7,6,11,0,0,12,2.25,1236,21.4167,4.80934,0.0,0.10000000149011612,2.400000095367432,0.009413993119129114,,0.012103643734008074,0.016366204564374955,FAKE
14,125,111,76,4,15,2,39,4,5,1,0,0,5,2.0,527,15.8571,4.74775,0.0,0.0,0.699999988079071,0.023282651582525838,,0.024272279255092143,0.0460779271605942,FAKE
15,149,130,98,2,21,0,31,2,6,2,0,0,16,2.375,615,16.25,4.73077,0.00769231,0.10000000149011612,1.399999976158142,,0.0231996257789433,0.028686592355370518,0.03596532624214888,FAKE
16,420,364,194,11,78,4,94,16,23,15,1,0,37,2.43478,1766,15.8261,4.85165,0.00274725,0.0,5.599999904632568,0.00980687467381358,0.0047156233340501785,0.009425933123566209,0.012207834139609566,FAKE
18,205,185,128,1,40,1,47,6,6,8,0,0,12,1.81818,877,16.8182,4.74054,0.0,-0.10000000149011612,3.0,0.015467609899739426,0.01829603174701333,0.015735585242509842,0.024076469242572784,FAKE
19,436,383,243,2,59,2,118,32,15,12,0,2,22,2.20833,1932,15.9583,5.04439,0.00259067,0.0,4.300000190734863,0.009103944478556513,0.006917396187782286,0.010260788917851944,0.011252824935529914,FAKE
20,504,449,241,24,59,2,142,21,14,9,0,0,15,3.4375,2202,28.0625,4.90423,0.00442478,0.0,2.900000095367432,0.0061334346313602645,0.0069901653041597464,0.010902136210352182,0.0051565887912621965,FAKE
22,645,539,342,4,86,7,166,37,16,16,0,0,31,3.6551699999999996,2685,18.5862,4.98145,0.0,0.0,5.300000190734863,0.0035984715602050228,0.006903825715805094,0.008380978246263805,0.0056450163657941355,FAKE
23,524,452,256,10,62,4,130,22,26,9,0,0,28,3.0,2261,18.8333,5.00221,0.0,-0.10000000149011612,5.699999809265138,0.0077871007670182735,0.0050682677344108615,0.0053243337509532775,0.010127067790433231,FAKE
