author,link,category,date of publication,number of tokens,number of words without punctuation,number of types,number of links inside the news,number of words in upper case,number of verbs,number of subjuntive and imperative verbs,number of nouns,number of adjectives,number of adverbs,number of modal verbs,number of singular first and second personal pronouns,number of plural first personal pronouns,number of pronouns,pausality,number of chracteres,average sentence length,average word length,percentage of news with speeling errors,emotiveness,diversity,indice
Naira Trindade,http://politica.estadao.com.br/blogs/coluna-do-estadao/podemos-expulsa-gaguim-e-abre-espaco-para-katia-abreu/,politica,13/12/2017,168,148,107,None,0,24,2,43,5,4,3,0,0,7,3.33333,761,24.6667,5.14189,0.0,0.134328,0.722973,1
Estadão Conteúdo,"http://esportes.estadao.com.br/noticias/futebol,zico-critica-montagem-do-elenco-no-flamengo-e-uma-equipe-supervalorizada,70002131447",sociedade_cotidiano,26/12/2017,349,294,182,None,3,60,1,72,19,24,4,0,0,29,2.75,1477,14.7,5.02381,0.0,0.325758,0.619048,2
Juliana Diógenes,"http://politica.estadao.com.br/noticias/geral,alckmin-diz-que-previa-nao-divide-previa-escolhe,70002131259",politica,26/12/2017,249,204,128,None,0,38,1,62,10,6,4,3,0,8,3.0,1019,13.6,4.9951,0.0147059,0.16,0.627451,3
Mônica Bergamo,http://www1.folha.uol.com.br/colunas/monicabergamo/2018/01/1949525-doria-vai-receber-ze-celso-apos-reuniao-com-representante-de-silvio-santos.shtml,politica,11/1/2018,170,147,102,None,2,22,1,50,1,4,3,0,0,7,2.875,700,18.375,4.7619,0.0,0.0694444,0.693878,4
Luiz Vassallo E Breno Pires,http://politica.estadao.com.br/blogs/fausto-macedo/laranja-de-geddel-trabalhou-na-campanha-de-aecio/,politica,28/12/2017,389,341,181,None,12,53,2,101,10,7,10,0,0,14,2.66667,1587,18.9444,4.65396,0.00879765,0.11039,0.530792,5
Liz Batista,"http://acervo.estadao.com.br/noticias/acervo,projeto-de-repatriacao-de-recursos-proposto-por-delcidio-foi-atacado-por-moro-em-2010,11769,0.htm",politica,25/11/2015,315,283,185,None,4,45,2,87,12,11,7,0,0,11,2.90909,1407,25.7273,4.97173,0.0106007,0.174242,0.65371,6
G1 MA,https://g1.globo.com/ma/maranhao/noticia/ministerio-publico-pede-condenacao-de-domingos-dutra-por-improbidade-administrativa.ghtml,sociedade_cotidiano,27/11/2017,502,459,239,None,12,49,7,147,16,8,10,0,0,9,2.86667,2255,30.6,4.91285,0.00653595,0.122449,0.520697,7
Reuters,https://g1.globo.com/mundo/noticia/cuba-presta-homenagem-a-fidel-em-primeiro-aniversario-de-sua-morte-e-contempla-futuro.ghtml,politica,24/11/2017,482,441,265,None,0,52,1,129,28,15,5,0,0,33,2.41176,2132,25.9412,4.83447,0.0,0.237569,0.600907,8
"Bruno Albernaz,",https://g1.globo.com/rj/rio-de-janeiro/noticia/doleiros-suspeitos-de-lavar-dinheiro-em-esquema-de-sergio-cabral-chegam-ao-rio.ghtml,politica,28/12/2017,264,234,147,None,2,34,0,73,5,4,3,0,0,5,2.72727,1146,21.2727,4.89744,0.0,0.0841122,0.628205,9
Marco Rodrigo Almeida,http://www1.folha.uol.com.br/poder/2018/01/1949909-bolsonaro-e-um-liberal-completo-diz-presidente-do-psl.shtml,politica,12/1/2018,1028,865,474,None,9,135,2,237,56,45,14,3,1,63,2.85965,4205,15.1754,4.86127,0.00115607,0.271505,0.547977,10
