indice,ADDRESS,CONSUMER_GOOD,DATE,EVENT,LOCATION,NUMBER,ORGANIZATION,OTHER,PERSON,PHONE_NUMBER,PRICE,WORK_OF_ART
1,,0.009893558919429779,,0.03102897231777509,0.018313355123003323,0.0,0.023097809636965394,0.017515323331786528,0.02475054334435198,,,
2,,,,0.012463998864404857,0.011476256884634495,0.0,0.0161288745701313,0.011715134880386101,0.011704466641984053,,,0.022760769468732178
3,,0.036605166271328926,,0.012985861239333948,0.013728485753138862,0.0,0.021580125158652663,0.011284270912016692,0.015080590376301724,,,0.05872899666428566
4,,0.0074106529355049125,0.0,0.01016234430587954,0.011655982795425436,0.0,0.010908047668635845,0.013004298268172603,0.01709657026610027,,,
5,,,,0.021924681030213833,0.016169607639312744,0.0,0.0154972979798913,0.02683898585382849,0.03305194495866696,,0.0,0.026165762916207317
6,,0.014157684519886969,,0.02356771903578192,,0.0,0.018234949791803956,0.019572052794198196,0.038368563749827445,,,
7,,0.010647071525454521,,0.02094007151511808,0.02678103558719158,0.0,0.029094333993270993,0.013127206452190876,0.014785698289051652,,,0.019555010677625734
8,,,0.0,0.032118176420529686,0.017208957113325596,0.0,0.010628446936607359,0.014740989901698552,0.02243434446042075,,,0.03341663877169291
9,,,,0.02300427295267582,0.07006283104419707,0.0,0.021397661417722702,0.028464321590339143,0.051336725475266576,,,
10,,,,0.014875174396567874,0.011186034418642521,0.0,0.00984007865190506,0.01364929553378245,0.017114073247648777,,,0.02315601333975792
11,,,,0.023122645914554596,0.022454770799312327,0.0,0.010624950441221396,0.022001973415414492,0.017602597278627483,,,
12,,,,0.009355430180827776,0.01333608478307724,0.0,0.018499119931624994,0.012737124391338405,0.01631655075930451,,,
13,,0.00873823743313551,0.0,0.009413993119129114,,0.0,0.012103643734008074,0.011302715329372364,0.016366204564374955,,,
14,,,,0.023282651582525835,,0.0,0.024272279255092143,0.014876782583693663,0.046077927160594195,,0.0,
15,,,,,0.0231996257789433,0.0,0.02868659235537052,0.03923891684306519,0.035965326242148876,,,
16,,0.009706990793347359,,0.009806874673813581,0.0047156233340501785,0.0,0.00942593312356621,0.008409858608086193,0.012207834139609566,,,0.019235482284178335
17,,0.005168669071281329,0.0,0.009487313916906714,,0.0,0.0075124545022845265,0.004032051316987146,0.00645455272049354,,0.0,0.004762768667812149
18,,0.017391150817275047,,0.015467609899739424,0.01829603174701333,0.0,0.015735585242509842,0.02646021607021491,0.024076469242572784,,,
19,,0.004793943061182897,,0.009103944478556513,0.006917396187782287,0.0,0.010260788917851945,0.007518926856573671,0.011252824935529914,,0.0,0.02243424765765667
20,,,0.0,0.0061334346313602645,0.006990165304159746,0.0,0.010902136210352182,0.006222371231107151,0.0051565887912621965,,,
21,,0.011496470309793949,,0.012274271249771119,,0.0,0.013590137008577585,0.013865491996208826,0.03237145507176008,,0.0,0.019058074802160263
22,,0.008147049595468811,0.0,0.0035984715602050223,0.006903825715805094,0.0,0.008380978246263805,0.005208634564446079,0.005645016365794136,,,0.003086671698838473
23,,,0.0,0.0077871007670182735,0.005068267734410862,0.0,0.005324333750953277,0.006034366176685407,0.010127067790433233,,0.0,0.0032970223110169172
24,,0.0011153051940103371,0.0,0.0018944386065912063,0.001753234096603202,0.0,0.001741670467890799,0.001731471972575841,0.0024308275971590063,,,0.0010599691013339907
25,,,0.0,0.016710462048649788,0.010138302575796843,0.0,0.009947778346637884,0.014463234979372758,0.025730763665503927,,,0.011167594231665134
26,,0.02799015904643706,,0.014399882405996323,0.008533184749207326,0.0,0.007714645626644294,0.020167234025019055,0.01717355184476165,,,
27,,,0.0,0.006340356892906129,0.004773376871728235,0.0,0.011231856782817178,0.006388325035237731,0.012291245800240533,,,
28,,,0.0,0.008229620638303459,0.013800160959362984,0.0,0.014233424386475235,0.010487440017689215,0.01762950064047523,,,
29,,0.006892934790812433,0.0,0.005381951240174796,0.004106529010459781,0.0,0.0057038521394133564,0.004208674366750261,0.007359496846964414,,,0.0027724460233002897
30,,0.01881815679371357,0.0,0.00980979179103787,0.006496896247633479,0.0,0.014327340254870554,0.00789800361762273,0.011032644788631134,,,
31,,0.010812787242078533,0.0,0.010203446698142216,0.007058347276012812,0.0,0.013703865916742122,0.006756510103641208,0.0062509183306247,,,
32,,,0.0,0.012187996258338293,0.006620535859838128,0.0,0.013668659209672893,0.01383651653304696,0.022045325837098062,,0.0,
33,,,,0.016545192222110927,0.019553559366613626,0.0,0.015687869489192964,0.01310402574017644,0.030114177556242794,,,
34,,0.01888960972428322,,0.009528823519268861,0.006359993790586789,0.0,0.007568900024385324,0.009908346304049095,0.012804368771612644,,0.0,
35,,,,0.013875004090368747,0.006498849019408226,0.0,0.009571980219334364,0.01671272492967546,0.027436374412739977,,0.0,
36,,0.002989125670865178,,0.011692779643150665,0.005415843660011887,0.0,0.005494851665571333,0.007302813823722924,0.009569096859827961,,,0.005559310840908438
37,,,0.0,0.011584005085751414,0.006368372472934425,0.0,0.008131231440024244,0.011445880598890094,0.014795365948230029,,,0.005057408008724451
38,,,0.0,0.007909410441893019,0.012823589922239384,0.0,0.006470733684384161,0.005534985730343539,0.008117264784548594,,,0.030837997794151306
39,,0.018697285489179195,,0.009707561053801328,0.01298588141798973,0.0,0.006828964687883854,0.009910504822051379,0.009257165559877953,,,0.010228158440440893
40,,0.003368377685546875,0.0,0.008085994820038859,0.006334427252618803,0.0,0.007384915906004608,0.005121753736185368,0.00692183967223581,,,
41,,,,0.010937294519195954,0.00616107159294188,0.0,0.007911629043519497,0.008522650643594955,0.016286995572348435,,,0.009152613580226898
42,,,0.0,0.007624536294550184,0.006639856030233204,0.0,0.005525382717938295,0.005792436274164852,0.009115928038954734,,0.0,
43,,,,0.009986010517048486,0.01949302984091143,0.0,0.00709819273007187,0.008014475104088585,0.010780075194568119,,,
44,,0.004691187757998705,,0.0073742407684524855,0.004550423182081431,0.0,0.00656014250125736,0.0077628922075606305,0.01461086289914833,,0.0,
45,,0.01447252370417118,,0.019063080040117104,0.0220787829409043,0.0,0.014008736703544855,0.016235487163066865,0.026189181488007307,,,0.011645395308732986
46,,,,0.008460508426651359,0.019915411714464426,0.0,0.008694614948970931,0.0125632876297459,0.022414132187675153,,0.0,0.007347985170781612
47,,0.002561230949747066,0.0,0.0036002052038384136,0.005646643934596796,0.0,0.004826246241394144,0.00421631263523567,0.004339901100018255,,,
48,,,0.0,0.009304973829005445,0.007599133718758822,0.0,0.017891239530096453,0.012623536710937818,0.014486409184571943,,,
49,,,,0.013276040243605772,0.007514471343408029,0.0,0.012678861198946834,0.01249604663878147,0.012673932299213974,,,0.013335750438272951
50,,,0.0,0.003194848521767805,0.00646576513018873,0.0,0.004422004800289869,0.003596286518642536,0.005742303858925071,,,0.003549686477830013
51,,0.003383432049304247,,0.0061195698799565434,0.008495808346197009,0.0,0.0035459209595703417,0.0077088438307068175,0.009451358128959935,,,0.004345146706327796
52,,0.006087477318942547,0.0,0.012105069969865408,0.0064896744055052595,0.0,0.007174315629526973,0.010879448242485523,0.017143685254268348,,,
53,,,,0.014214070824285349,0.010877052011589209,0.0,0.011802924530846732,0.012820029407739639,0.017123885364049955,,,
54,,0.00872515793889761,,0.01624869169401271,0.031806159764528275,0.0,0.019054675288498402,0.012350269306737643,0.016738168060934793,,,
55,,,,0.00799954335929619,0.006688984017819167,0.0,0.007008803853144248,0.006500153953360545,0.010074958704957148,,,
56,,,0.0,0.010547965227697905,0.00500371353700757,0.0,0.010791617279340113,0.014335731025785208,0.013841834165813291,,,
57,,0.01513478234410286,,0.013200689107179642,0.013812555931508541,0.0,0.018746921016524237,0.012316805347800254,0.01615901172044687,,,
58,,0.006225700490176678,0.0,0.006670253196110328,0.008421005273703486,0.0,0.011257364104191462,0.01002188912326736,0.010152478308345262,,,
59,,0.010506795719265938,,0.010453830473124981,0.010183043777942656,0.0,0.013680782110895962,0.015411917669033366,0.020300965814385563,,,0.01463885419070721
60,,0.0031457680161111057,0.0,0.005051141371950507,0.004802790703251958,0.0,0.005981326423352584,0.00618618692526907,0.005090392599986108,,0.0,0.009201732464134691
61,,0.015012895821460657,,0.006840653318379607,0.02677335031330585,0.0,0.008250532749419412,0.010259406598792835,0.013766206265427173,,,0.010695314966142178
62,,0.002677301643416285,0.0,0.0028098039887845517,0.002240828784684149,0.0,0.003344637365080416,0.004316011573411996,0.004986164099258829,,,0.003302541165612638
63,,,0.0,0.016895037196162675,0.005357794929295778,0.0,0.006709714166142724,0.011903672349742718,0.013179349470073763,,,0.026012982862691086
64,,,,0.010087611415656283,0.005413244478404522,0.0,0.006681867564717929,0.008217506242268111,0.011050888120995037,,,0.0064030918292701244
65,,,0.0,0.010972760093864053,0.00870513217523694,0.0,0.008241197940978136,0.00965997486585571,0.01210536995645741,,,
66,,0.00921109109185636,,0.009997251487913587,0.006066699246210712,0.0,0.00894961174344644,0.00974067049505918,0.010902769292112102,,,
67,,,0.0,0.014375290321186184,0.007005625482027729,0.0,0.007193743251264095,0.009990288929727215,0.009964104885092149,,,
68,,0.028170529869385064,,0.011255095154047013,0.012748439563438296,0.0,0.01657203941916426,0.014303446061124927,0.023757192865014078,,0.0,
69,,0.003889052546583116,0.0,0.003909649525303394,0.005237652190650503,0.0,0.00470274392070926,0.0027942765970924393,0.004451206085424678,,0.0,
70,,0.005507144145667553,0.0,0.012242234777659178,0.0036174925044178963,0.0,0.012299421673210768,0.007180010038969475,0.010603375164791942,,,0.0074466068763285875
71,,0.013244107055167357,,0.015097277394185463,0.029072610661387444,0.0,0.016283531906083226,0.022345071115220588,0.02538351435214281,,,
72,,0.013195461593568323,0.0,0.00941848736256361,0.00576851812989584,0.0,0.006839958618261984,0.004919562054662189,0.00927659158062722,,,
73,,0.0050465697422623634,0.0,0.004799177062095088,0.003468590730335563,0.0,0.009291196376300203,0.006666363527377446,0.00680213188752532,,0.0,0.003674003528431058
74,,,0.0,0.009388599389543137,,0.0,0.010478755562669702,0.013513177121058106,0.01425992175936699,,,0.006372925359755754
