category,number of tokens,number of words without punctuation,number of types,number of words in upper case,number of verbs,number of subjuntive and imperative verbs,number of nouns,number of adjectives,number of adverbs,number of modal verbs,number of singular first and second personal pronouns,number of plural first personal pronouns,number of pronouns,pausality,number of chracteres,average sentence length,average word length,percentage of news with speeling errors,document_score,document_magnitude,EVENT,LOCATION,ORGANIZATION,PERSON,classification
politica,320,264,158,12,23,0,74,7,3,1,0,0,11,4.30769,1254,20.3077,4.75,0.0,0.20000000298023224,2.0999999046325684,0.0194970096151034,0.013246430465104904,0.017231644843431083,0.009159740153700113,FAKE
ciencia_tecnologia,1031,927,496,9,132,12,263,56,46,11,0,0,64,3.58621,4663,31.9655,5.0302,0.0021575,0.20000000298023224,11.100000381469727,0.00362697504831224,0.00430714956484735,0.0030114534427411856,0.0036465020526609405,TRUE
politica,231,189,136,0,39,3,48,12,12,2,2,1,16,2.33333,844,10.5,4.46561,0.00529101,-0.10000000149011612,1.600000023841858,0.02412551160280903,0.023641087114810944,0.041200344450771816,0.016914942394942047,FAKE
politica,2255,2004,850,21,287,7,550,110,75,45,0,3,106,2.64211,9758,21.0947,4.86926,0.00249501,0.0,23.399999618530273,0.0016742011124733836,0.001484306703787297,0.002981332052707117,0.0021138594143479367,TRUE
politica,241,204,128,1,51,3,41,7,15,6,1,1,24,2.3125,936,12.75,4.58824,0.0,-0.30000001192092896,4.099999904632568,0.01335673655072848,0.012517900206148623,0.01566391278590475,0.031730877235531814,FAKE
politica,134,116,81,1,21,0,35,4,4,0,0,0,4,2.0,551,12.8889,4.75,0.00862069,-0.20000000298023224,2.700000047683716,0.026909244060516358,0.030654404126107693,0.017542769201099873,0.03618289406100909,FAKE
politica,1262,1130,564,11,179,17,292,65,67,22,0,4,96,2.35714,5326,20.1786,4.71327,0.0008849560000000002,0.0,13.5,0.003321043654744114,0.0025703003086770576,0.0059764500358141966,0.003625164056872345,TRUE
tv_celebridades,226,191,132,5,39,0,56,9,13,3,1,0,10,2.91667,923,15.9167,4.83246,0.0104712,-0.10000000149011612,1.7999999523162842,0.015440609538927674,0.010767841711640358,0.01991561881732196,0.022971572043995064,FAKE
tv_celebridades,314,269,180,6,44,0,70,24,17,4,0,0,22,2.5,1330,14.9444,4.94424,0.014869899999999997,0.10000000149011612,4.5,0.010024700313806534,,0.029485984705388543,0.015221461653709413,FAKE
tv_celebridades,127,107,83,1,22,0,28,8,6,6,0,0,8,1.81818,590,9.72727,5.51402,0.00934579,0.0,2.200000047683716,0.0557280145585537,0.015957044437527657,0.04452167513469855,0.02355821213374536,FAKE
